head,type,tail,meta
46th International ACM SIGIR Conference on Research and Development in Information Retrieval,publication date,2023,"{'spans': [[90, 140]], 'source': 'bdab3e8523fe4759899ae5a7021ed126'}"
Mathilde Caron,field of work,Unsupervised dense information,"{'spans': [[135, 185]], 'source': 'bdab3e8523fe4759899ae5a7021ed126'}"
Unsupervised dense information,developer,Mathilde Caron,"{'spans': [[135, 185]], 'source': 'bdab3e8523fe4759899ae5a7021ed126'}"
Gautier Izacard,influenced by,Mathilde Caron,"{'spans': [[135, 185]], 'source': 'bdab3e8523fe4759899ae5a7021ed126'}"
supervised dense information retrieval,uses,contrastive learning,"{'spans': [[180, 230]], 'source': 'bdab3e8523fe4759899ae5a7021ed126'}"
Gautier Izacard,field of work,supervised dense information retrieval,"{'spans': [[180, 230]], 'source': 'bdab3e8523fe4759899ae5a7021ed126'}"
supervised dense information retrieval with contrastive learning,developer,Gautier Izacard,"{'spans': [[180, 230]], 'source': 'bdab3e8523fe4759899ae5a7021ed126'}"
Sebastian Riedel,field of work,Few-shot learning,"{'spans': [[225, 275]], 'source': 'bdab3e8523fe4759899ae5a7021ed126'}"
Timo Schick,field of work,Few-shot learning,"{'spans': [[225, 275]], 'source': 'bdab3e8523fe4759899ae5a7021ed126'}"
Sebastian Riedel,notable work,Atlas,"{'spans': [[225, 275]], 'source': 'bdab3e8523fe4759899ae5a7021ed126'}"
Fairness-aware exposure,subclass of,learning with retrieval augmented language models,"{'spans': [[270, 320]], 'source': 'bdab3e8523fe4759899ae5a7021ed126'}"
Thomas Jaenich,field of work,Fairness-aware exposure,"{'spans': [[270, 320]], 'source': 'bdab3e8523fe4759899ae5a7021ed126'}"
Fairness-aware exposure,subclass of,learning with retrieval,"{'spans': [[270, 320]], 'source': 'bdab3e8523fe4759899ae5a7021ed126'}"
47th International ACM SIGIR Conference on Research and Development in Information Retrieval,organizer,Association for Computing Mach Mach,"{'spans': [[315, 365]], 'source': 'bdab3e8523fe4759899ae5a7021ed126'}"
47th International ACM SIGIR Conference on Research and Development in Information Retrieval,organizer,Association for Computing Mach Machinery,"{'spans': [[315, 365]], 'source': 'bdab3e8523fe4759899ae5a7021ed126'}"
Meng Jiang,student,Keqin Bao,"{'spans': [[0, 50]], 'source': '5e1d603a4bc94477bb47ce9b98653d2b'}"
Meng Jiang,influenced by,Keqin Bao,"{'spans': [[0, 50]], 'source': '5e1d603a4bc94477bb47ce9b98653d2b'}"
Keqin Bao,student of,Meng Jiang,"{'spans': [[0, 50]], 'source': '5e1d603a4bc94477bb47ce9b98653d2b'}"
Proceedings of the ACM on Web Conference 2024,point in time,2024,"{'spans': [[47, 97]], 'source': '5e1d603a4bc94477bb47ce9b98653d2b'}"
"Proceedings of the ACM on Web Conference 2024, WWW ’24",point in time,2024,"{'spans': [[47, 97]], 'source': '5e1d603a4bc94477bb47ce9b98653d2b'}"
Robert Capra,member of,Nsf,"{'spans': [[94, 144]], 'source': '5e1d603a4bc94477bb47ce9b98653d2b'}"
Robert Capra,employer,Nsf,"{'spans': [[94, 144]], 'source': '5e1d603a4bc94477bb47ce9b98653d2b'}"
Urvashi K K,father,Robert Capra,"{'spans': [[94, 144]], 'source': '5e1d603a4bc94477bb47ce9b98653d2b'}"
International Conference on Learning Representations,point in time,2020,"{'spans': [[141, 191]], 'source': '5e1d603a4bc94477bb47ce9b98653d2b'}"
Generaliza- tion through memorization,publication date,2020,"{'spans': [[141, 191]], 'source': '5e1d603a4bc94477bb47ce9b98653d2b'}"
Generaliza- tion through memorization,author,Omer Levy,"{'spans': [[141, 191]], 'source': '5e1d603a4bc94477bb47ce9b98653d2b'}"
To Eun Kim,publication date,2020,"{'spans': [[188, 238]], 'source': '5e1d603a4bc94477bb47ce9b98653d2b'}"
Alireza Salemi,field of work,machine learning,"{'spans': [[188, 238]], 'source': '5e1d603a4bc94477bb47ce9b98653d2b'}"
To Eun Kim,field of work,machine learning,"{'spans': [[188, 238]], 'source': '5e1d603a4bc94477bb47ce9b98653d2b'}"
Sushrita Yerra,spouse,Alireza Salemi,"{'spans': [[235, 285]], 'source': '5e1d603a4bc94477bb47ce9b98653d2b'}"
Alireza Salemi,spouse,Sushrita Yerra,"{'spans': [[235, 285]], 'source': '5e1d603a4bc94477bb47ce9b98653d2b'}"
Snigdha Viswanathan,spouse,Sushrita Yerra,"{'spans': [[235, 285]], 'source': '5e1d603a4bc94477bb47ce9b98653d2b'}"
Longlamp,author,Hanieh Deilamsalehy,"{'spans': [[282, 332]], 'source': '5e1d603a4bc94477bb47ce9b98653d2b'}"
Longlamp,instance of,text generation,"{'spans': [[282, 332]], 'source': '5e1d603a4bc94477bb47ce9b98653d2b'}"
Longlamp,author,Xiang Chen,"{'spans': [[282, 332]], 'source': '5e1d603a4bc94477bb47ce9b98653d2b'}"
Longlamp,author,Ruiyi Zhang,"{'spans': [[282, 332]], 'source': '5e1d603a4bc94477bb47ce9b98653d2b'}"
Longlamp,author,Shubham Agarwal,"{'spans': [[282, 332]], 'source': '5e1d603a4bc94477bb47ce9b98653d2b'}"
Longlamp,author,Nedim Lipka,"{'spans': [[282, 332]], 'source': '5e1d603a4bc94477bb47ce9b98653d2b'}"
Longlamp,author,Hamed Zamani,"{'spans': [[282, 332]], 'source': '5e1d603a4bc94477bb47ce9b98653d2b'}"
Patrick S. Lewis,spouse,Wen- Wen-,"{'spans': [[0, 50]], 'source': '6a6564d59ccc4acead0321e1a0a71979'}"
Wen- Wen-,spouse,Patrick S. Lewis,"{'spans': [[0, 50]], 'source': '6a6564d59ccc4acead0321e1a0a71979'}"
Patrick S. H. Lewis,spouse,Wen- Wen-,"{'spans': [[0, 50]], 'source': '6a6564d59ccc4acead0321e1a0a71979'}"
Wen- Wen-,spouse,Patrick S. H. Lewis,"{'spans': [[0, 50]], 'source': '6a6564d59ccc4acead0321e1a0a71979'}"
Patrick S. H. Lewis,has part,Mike Lewis,"{'spans': [[0, 50]], 'source': '6a6564d59ccc4acead0321e1a0a71979'}"
Mike Lewis,part of,Patrick S. H. Lewis,"{'spans': [[0, 50]], 'source': '6a6564d59ccc4acead0321e1a0a71979'}"
Hugo Larochelle,field of work,NLP,"{'spans': [[45, 95]], 'source': '6a6564d59ccc4acead0321e1a0a71979'}"
Retrieval-augmented generation,part of,NLP,"{'spans': [[45, 95]], 'source': '6a6564d59ccc4acead0321e1a0a71979'}"
Retrieval-augmented generation,facet of,NLP,"{'spans': [[45, 95]], 'source': '6a6564d59ccc4acead0321e1a0a71979'}"
Advances in Neural Information Processing Systems 33,editor,Hsuan-Tien Lin,"{'spans': [[90, 140]], 'source': '6a6564d59ccc4acead0321e1a0a71979'}"
Advances in Neural Information Processing Systems 33: Annual Conference,editor,Hugo Larochelle,"{'spans': [[90, 140]], 'source': '6a6564d59ccc4acead0321e1a0a71979'}"
Advances in Neural Information Processing Systems 33: Annual Conference,editor,Marc’Aurelio Ranzato,"{'spans': [[90, 140]], 'source': '6a6564d59ccc4acead0321e1a0a71979'}"
Advances in Neural Information Processing Systems 33: Annual Conference,editor,Raia Hadsell,"{'spans': [[90, 140]], 'source': '6a6564d59ccc4acead0321e1a0a71979'}"
Advances in Neural Information Processing Systems 33: Annual Conference,editor,Maria-Florina Balcan,"{'spans': [[90, 140]], 'source': '6a6564d59ccc4acead0321e1a0a71979'}"
Advances in Neural Information Processing Systems 33: Annual Conference,editor,Hsuan-Tien Lin,"{'spans': [[90, 140]], 'source': '6a6564d59ccc4acead0321e1a0a71979'}"
Advances in Neural Information Processing Systems 33,editor,Hugo Larochelle,"{'spans': [[90, 140]], 'source': '6a6564d59ccc4acead0321e1a0a71979'}"
Advances in Neural Information Processing Systems 33,editor,Marc’Aurelio Ranzato,"{'spans': [[90, 140]], 'source': '6a6564d59ccc4acead0321e1a0a71979'}"
Advances in Neural Information Processing Systems 33,editor,Raia Hadsell,"{'spans': [[90, 140]], 'source': '6a6564d59ccc4acead0321e1a0a71979'}"
Advances in Neural Information Processing Systems 33,editor,Maria-Florina Balcan,"{'spans': [[90, 140]], 'source': '6a6564d59ccc4acead0321e1a0a71979'}"
Annual Conference on Neural Information Processing Systems 2020,point in time,2020,"{'spans': [[135, 185]], 'source': '6a6564d59ccc4acead0321e1a0a71979'}"
NeurIPS,point in time,2020,"{'spans': [[135, 185]], 'source': '6a6564d59ccc4acead0321e1a0a71979'}"
Ashwin Paranjape,member of,Association for Computational Linguistics,"{'spans': [[180, 230]], 'source': '6a6564d59ccc4acead0321e1a0a71979'}"
Michele Bevilacqua,member of,Association for Computational Linguistics,"{'spans': [[180, 230]], 'source': '6a6564d59ccc4acead0321e1a0a71979'}"
Fabio Petroni,member of,Association for Computational Linguistics,"{'spans': [[180, 230]], 'source': '6a6564d59ccc4acead0321e1a0a71979'}"
Percy Liang,member of,Association for Computational Linguistics,"{'spans': [[180, 230]], 'source': '6a6564d59ccc4acead0321e1a0a71979'}"
IJCAI,publication date,2024,"{'spans': [[225, 275]], 'source': '6a6564d59ccc4acead0321e1a0a71979'}"
IJCAI,point in time,2024,"{'spans': [[225, 275]], 'source': '6a6564d59ccc4acead0321e1a0a71979'}"
Yee Whye Teh,field of work,The concrete distribution,"{'spans': [[270, 320]], 'source': '6a6564d59ccc4acead0321e1a0a71979'}"
The concrete distribution,subclass of,discrete random variables,"{'spans': [[270, 320]], 'source': '6a6564d59ccc4acead0321e1a0a71979'}"
The concrete distribution,uses,discrete random variables,"{'spans': [[270, 320]], 'source': '6a6564d59ccc4acead0321e1a0a71979'}"
"In International Conference on Learning Representations, 2017",point in time,2017,"{'spans': [[315, 365]], 'source': '6a6564d59ccc4acead0321e1a0a71979'}"
International Conference on Learning Representations,point in time,2017,"{'spans': [[315, 365]], 'source': '6a6564d59ccc4acead0321e1a0a71979'}"
International Conference on Learning Representations,publication date,2017,"{'spans': [[315, 365]], 'source': '6a6564d59ccc4acead0321e1a0a71979'}"
26th International Conference on World Wide Web Companion,point in time,2017,"{'spans': [[360, 410]], 'source': '6a6564d59ccc4acead0321e1a0a71979'}"
International World Wide Web Conferences,has part,International Conference on World Wide Web Companion,"{'spans': [[360, 410]], 'source': '6a6564d59ccc4acead0321e1a0a71979'}"
International Conference on World Wide Web Companion,part of,International World Wide Web Conferences,"{'spans': [[360, 410]], 'source': '6a6564d59ccc4acead0321e1a0a71979'}"
Transactions on Information Systems,publisher,ACM,"{'spans': [[0, 50]], 'source': 'e39dec4569cb4c7fa545efb67694091b'}"
TOIS,publisher,ACM,"{'spans': [[0, 50]], 'source': 'e39dec4569cb4c7fa545efb67694091b'}"
Transactions on Information Systems (TOIS),publisher,ACM,"{'spans': [[0, 50]], 'source': 'e39dec4569cb4c7fa545efb67694091b'}"
Rags to style,publication date,2008,"{'spans': [[44, 94]], 'source': 'e39dec4569cb4c7fa545efb67694091b'}"
Proceedings of the,publication date,2008,"{'spans': [[44, 94]], 'source': 'e39dec4569cb4c7fa545efb67694091b'}"
Abhiman Neelakanteswara,publication date,2008,"{'spans': [[44, 94]], 'source': 'e39dec4569cb4c7fa545efb67694091b'}"
1st Workshop on Personalization of Generative AI Systems,point in time,2024,"{'spans': [[88, 138]], 'source': 'e39dec4569cb4c7fa545efb67694091b'}"
Personalization of Generative AI Systems,publication date,2024,"{'spans': [[88, 138]], 'source': 'e39dec4569cb4c7fa545efb67694091b'}"
"1st Workshop on Personalization of Generative AI Systems (PERSONALIZE 2024), pages 119–123, 2024",point in time,2024,"{'spans': [[88, 138]], 'source': 'e39dec4569cb4c7fa545efb67694091b'}"
44th International ACM SIGIR Conference on Research and Development in Information Retrieval,point in time,2021,"{'spans': [[132, 182]], 'source': 'e39dec4569cb4c7fa545efb67694091b'}"
International ACM SIGIR Conference on Research and Development in Information Retrieval,point in time,2021,"{'spans': [[132, 182]], 'source': 'e39dec4569cb4c7fa545efb67694091b'}"
44th International ACM SIGIR Conference on Research and Development in Information Retrieval,publication date,2021,"{'spans': [[132, 182]], 'source': 'e39dec4569cb4c7fa545efb67694091b'}"
45th International ACM SIG,publication date,2021,"{'spans': [[176, 226]], 'source': 'e39dec4569cb4c7fa545efb67694091b'}"
45th International ACM SIG,point in time,2021,"{'spans': [[176, 226]], 'source': 'e39dec4569cb4c7fa545efb67694091b'}"
Harrie Oosterhuis,field of work,Learning-to-rank at the speed of sampling,"{'spans': [[176, 226]], 'source': 'e39dec4569cb4c7fa545efb67694091b'}"
International ACM SIGIR Conference on Research and Development in Information Retrieval,point in time,2022,"{'spans': [[220, 270]], 'source': 'e39dec4569cb4c7fa545efb67694091b'}"
The analysis of permutation,author,Robin L Plackett,"{'spans': [[220, 270]], 'source': 'e39dec4569cb4c7fa545efb67694091b'}"
Amifa Raj,member of,Royal Statistical Society,"{'spans': [[264, 314]], 'source': 'e39dec4569cb4c7fa545efb67694091b'}"
Michael D Ekstrand,member of,Royal Statistical Society,"{'spans': [[264, 314]], 'source': 'e39dec4569cb4c7fa545efb67694091b'}"
9087-2020,point in time,9087,"{'spans': [[308, 358]], 'source': 'e39dec4569cb4c7fa545efb67694091b'}"
unprepraiseably,subclass of,unprepraiseably,"{'spans': [[308, 358]], 'source': 'e39dec4569cb4c7fa545efb67694091b'}"
unprepraiseably,follows,unprepraiseably,"{'spans': [[308, 358]], 'source': 'e39dec4569cb4c7fa545efb67694091b'}"
unprepraiseably,followed by,unprepraiseably,"{'spans': [[308, 358]], 'source': 'e39dec4569cb4c7fa545efb67694091b'}"
NIST,located in the administrative territorial entity,"Gaithersburg, MD","{'spans': [[352, 402]], 'source': 'e39dec4569cb4c7fa545efb67694091b'}"
NIST,location of formation,"Gaithersburg, MD","{'spans': [[352, 402]], 'source': 'e39dec4569cb4c7fa545efb67694091b'}"
Third Text REtrieval Conference,publisher,NIST,"{'spans': [[352, 402]], 'source': 'e39dec4569cb4c7fa545efb67694091b'}"
Shichao Sun,has part,Shuaichen Chang,"{'spans': [[0, 50]], 'source': '090554e66bcc4cfd9beb3582c18e9779'}"
Dongyu Ru,student,Lin Qiu,"{'spans': [[0, 50]], 'source': '090554e66bcc4cfd9beb3582c18e9779'}"
Lin Qiu,student of,Dongyu Ru,"{'spans': [[0, 50]], 'source': '090554e66bcc4cfd9beb3582c18e9779'}"
Shichao Sun,student,Shuaichen Chang,"{'spans': [[0, 50]], 'source': '090554e66bcc4cfd9beb3582c18e9779'}"
Ragchecker,author,Zizhao Zhang,"{'spans': [[44, 94]], 'source': '090554e66bcc4cfd9beb3582c18e9779'}"
Ragchecker,author,Zheng Zhang,"{'spans': [[44, 94]], 'source': '090554e66bcc4cfd9beb3582c18e9779'}"
Ragchecker,developer,Zizhao Zhang,"{'spans': [[44, 94]], 'source': '090554e66bcc4cfd9beb3582c18e9779'}"
ARES,publication date,2024,"{'spans': [[88, 138]], 'source': '090554e66bcc4cfd9beb3582c18e9779'}"
Jon Saad-Falcon,field of work,retrieval-augmented generation,"{'spans': [[88, 138]], 'source': '090554e66bcc4cfd9beb3582c18e9779'}"
"ARES: An automated automated retrieval-augmented generation, 2024",publication date,2024,"{'spans': [[88, 138]], 'source': '090554e66bcc4cfd9beb3582c18e9779'}"
ARES,author,Kevin Duh,"{'spans': [[132, 182]], 'source': '090554e66bcc4cfd9beb3582c18e9779'}"
ARES,developer,Kevin Duh,"{'spans': [[132, 182]], 'source': '090554e66bcc4cfd9beb3582c18e9779'}"
ARES,author,Helena Gomez,"{'spans': [[132, 182]], 'source': '090554e66bcc4cfd9beb3582c18e9779'}"
ARES,author,Steven Bethard,"{'spans': [[132, 182]], 'source': '090554e66bcc4cfd9beb3582c18e9779'}"
Alireza Salemi,spouse,Hamed Zamani,"{'spans': [[176, 226], [264, 314]], 'source': '090554e66bcc4cfd9beb3582c18e9779'}"
Hamed Zamani,spouse,Alireza Salemi,"{'spans': [[176, 226], [264, 314]], 'source': '090554e66bcc4cfd9beb3582c18e9779'}"
Alireza Salemi,student,Hamed Zamani,"{'spans': [[176, 226]], 'source': '090554e66bcc4cfd9beb3582c18e9779'}"
47th International ACM SIG,point in time,2024,"{'spans': [[264, 314]], 'source': '090554e66bcc4cfd9beb3582c18e9779'}"
47th International ACM SIG,publication date,2024,"{'spans': [[264, 314]], 'source': '090554e66bcc4cfd9beb3582c18e9779'}"
International ACM SIGIR Conference,organizer,Association for Computing Machinery,"{'spans': [[308, 358]], 'source': '090554e66bcc4cfd9beb3582c18e9779'}"
SIGIR ’24,organizer,Association for Computing Machinery,"{'spans': [[308, 358]], 'source': '090554e66bcc4cfd9beb3582c18e9779'}"
47th International ACM SIGIR Conference,instance of,International ACM SIGIR Conference,"{'spans': [[0, 50]], 'source': '210c25b10fbb4751bbdccdad8bff8192'}"
Surya Kallumadi,influenced by,Alireza Salemi,"{'spans': [[0, 50]], 'source': '210c25b10fbb4751bbdccdad8bff8192'}"
Alireza Salemi,influenced by,Surya Kallumadi,"{'spans': [[0, 50]], 'source': '210c25b10fbb4751bbdccdad8bff8192'}"
SIGIR ’24,point in time,2024,"{'spans': [[47, 97]], 'source': '210c25b10fbb4751bbdccdad8bff8192'}"
IR Conference on Research and Development in Information Retrieval,organizer,Association for Computing Machinery,"{'spans': [[47, 97]], 'source': '210c25b10fbb4751bbdccdad8bff8192'}"
IR Conference on Research and Development in Information Retrieval,organizer,SIGIR,"{'spans': [[47, 97]], 'source': '210c25b10fbb4751bbdccdad8bff8192'}"
Alireza Salemi,influenced by,Sheshera Mysore,"{'spans': [[94, 144]], 'source': '210c25b10fbb4751bbdccdad8bff8192'}"
Alireza Salemi,spouse,Sheshera Mysore,"{'spans': [[94, 144]], 'source': '210c25b10fbb4751bbdccdad8bff8192'}"
Sheshera Mysore,spouse,Alireza Salemi,"{'spans': [[94, 144]], 'source': '210c25b10fbb4751bbdccdad8bff8192'}"
Piotr Sapiezynski,member of,Association for Computational Linguistics,"{'spans': [[141, 191]], 'source': '210c25b10fbb4751bbdccdad8bff8192'}"
The 2019 World Wide Web Conference,point in time,2019,"{'spans': [[188, 238]], 'source': '210c25b10fbb4751bbdccdad8bff8192'}"
Wesley Zeng,field of work,ranked lists,"{'spans': [[188, 238]], 'source': '210c25b10fbb4751bbdccdad8bff8192'}"
Wesley Zeng,field of work,ranked list,"{'spans': [[188, 238]], 'source': '210c25b10fbb4751bbdccdad8bff8192'}"
Tefko Saracevic,member of,Association for Computing Machinery,"{'spans': [[235, 285]], 'source': '210c25b10fbb4751bbdccdad8bff8192'}"
The Notion of Relevance in Information Science,publication date,2019,"{'spans': [[235, 285]], 'source': '210c25b10fbb4751bbdccdad8bff8192'}"
The Notion of Relevance in Information Science,publisher,Association for Computing Machinery,"{'spans': [[235, 285]], 'source': '210c25b10fbb4751bbdccdad8bff8192'}"
2016,point in time,2016,"{'spans': [[282, 332]], 'source': '210c25b10fbb4751bbdccdad8bff8192'}"
Robik Shrestha,publication date,2016,"{'spans': [[282, 332]], 'source': '210c25b10fbb4751bbdccdad8bff8192'}"
Robik Shrestha,work period (start),2016,"{'spans': [[282, 332]], 'source': '210c25b10fbb4751bbdccdad8bff8192'}"
Conference on Computer Vision and Pattern Recognition,organizer,IEEE/CVF,"{'spans': [[329, 379]], 'source': '210c25b10fbb4751bbdccdad8bff8192'}"
Conference on Computer Vision and Pattern Recognition,organizer,IEEE,"{'spans': [[329, 379]], 'source': '210c25b10fbb4751bbdccdad8bff8192'}"
IEEE/CVF Conference on Computer Vision and Pattern Recognition,instance of,Proceedings,"{'spans': [[329, 379]], 'source': '210c25b10fbb4751bbdccdad8bff8192'}"
24th ACM SIGKDD international conference on knowledge discovery & data mining,point in time,2018,"{'spans': [[0, 50]], 'source': 'dcf45cda59db44f0a0c13fd1306323d1'}"
24th ACM SIGKDD international conference,point in time,2018,"{'spans': [[0, 50]], 'source': 'dcf45cda59db44f0a0c13fd1306323d1'}"
24th ACM SIGKDD international conference on knowledge discovery & data mining,publication date,2018,"{'spans': [[0, 50]], 'source': 'dcf45cda59db44f0a0c13fd1306323d1'}"
Ashudeep Singh,field of work,Policy learning,"{'spans': [[43, 93]], 'source': 'dcf45cda59db44f0a0c13fd1306323d1'}"
33rd International Conference on Neural Information Processing Systems,point in time,2018,"{'spans': [[43, 93]], 'source': 'dcf45cda59db44f0a0c13fd1306323d1'}"
Ashudeep Singh,spouse,Thorsten Joachims,"{'spans': [[43, 93]], 'source': 'dcf45cda59db44f0a0c13fd1306323d1'}"
Thorsten Joachims,spouse,Ashudeep Singh,"{'spans': [[43, 93]], 'source': 'dcf45cda59db44f0a0c13fd1306323d1'}"
Ke Yang,spouse,Julia Stoyanovich,"{'spans': [[86, 136]], 'source': 'dcf45cda59db44f0a0c13fd1306323d1'}"
Julia Stoyanovich,spouse,Ke Yang,"{'spans': [[86, 136]], 'source': 'dcf45cda59db44f0a0c13fd1306323d1'}"
Ke Yang and Julia Stoyanovich,publication date,2019,"{'spans': [[86, 136]], 'source': 'dcf45cda59db44f0a0c13fd1306323d1'}"
Stochastic rag,publication date,2017,"{'spans': [[129, 179]], 'source': 'dcf45cda59db44f0a0c13fd1306323d1'}"
Hamed Zamani,field of work,statistical database management,"{'spans': [[129, 179]], 'source': 'dcf45cda59db44f0a0c13fd1306323d1'}"
Hamed Zamani,field of work,statistical,"{'spans': [[129, 179]], 'source': 'dcf45cda59db44f0a0c13fd1306323d1'}"
International ACM SIGIR Conference on Research and Development in Information Retrieval,has part,SIGIR ’24,"{'spans': [[172, 222]], 'source': 'dcf45cda59db44f0a0c13fd1306323d1'}"
SIGIR ’24,part of,International ACM SIGIR Conference on Research and Development in Information Retrieval,"{'spans': [[172, 222]], 'source': 'dcf45cda59db44f0a0c13fd1306323d1'}"
Hamed Zamani,member of,Association for Computing Machinery,"{'spans': [[215, 265]], 'source': 'dcf45cda59db44f0a0c13fd1306323d1'}"
Mostafa De De,member of,Association for Computing Machinery,"{'spans': [[215, 265]], 'source': 'dcf45cda59db44f0a0c13fd1306323d1'}"
Mostafa Dehghani,field of work,machine learning,"{'spans': [[258, 308]], 'source': 'dcf45cda59db44f0a0c13fd1306323d1'}"
Fernando Diaz,field of work,machine learning,"{'spans': [[258, 308]], 'source': 'dcf45cda59db44f0a0c13fd1306323d1'}"
Donald Metzler,field of work,machine learning,"{'spans': [[258, 308]], 'source': 'dcf45cda59db44f0a0c13fd1306323d1'}"
2017 ACM,point in time,2017,"{'spans': [[301, 351]], 'source': 'dcf45cda59db44f0a0c13fd1306323d1'}"
Meike Zehlike,participant in,2017 ACM,"{'spans': [[301, 351]], 'source': 'dcf45cda59db44f0a0c13fd1306323d1'}"
Meike Zehlike,member of,2017 ACM,"{'spans': [[301, 351]], 'source': 'dcf45cda59db44f0a0c13fd1306323d1'}"
Francesco Bonchi,member of,Fa* ir,"{'spans': [[0, 50]], 'source': '2156e4728b48472a8007ff62df1efa69'}"
Meike Zehlike,member of,Fa* ir,"{'spans': [[0, 50]], 'source': '2156e4728b48472a8007ff62df1efa69'}"
Meike Zehlike,field of work,Fa* ir,"{'spans': [[0, 50]], 'source': '2156e4728b48472a8007ff62df1efa69'}"
Huimin Zeng,publication date,2017,"{'spans': [[47, 97]], 'source': '2156e4728b48472a8007ff62df1efa69'}"
Conference on Information and Knowledge Management,point in time,2017,"{'spans': [[47, 97]], 'source': '2156e4728b48472a8007ff62df1efa69'}"
Hengran Zhang,religion,Okawaru,"{'spans': [[94, 144]], 'source': '2156e4728b48472a8007ff62df1efa69'}"
Hengran Zhang,field of work,Okawaru,"{'spans': [[94, 144]], 'source': '2156e4728b48472a8007ff62df1efa69'}"
Ruqing Zhang,field of work,Okawaru,"{'spans': [[94, 144]], 'source': '2156e4728b48472a8007ff62df1efa69'}"
47th International ACM SIGIR Conference on Research and Development in Information Retrieval,point in time,1941,"{'spans': [[141, 191]], 'source': '2156e4728b48472a8007ff62df1efa69'}"
47th International ACM SIGIR Conference on Research and Development in Information Retrieval,publication date,1941,"{'spans': [[141, 191]], 'source': '2156e4728b48472a8007ff62df1efa69'}"
Yiming Zhang,member of,Association for Computing Machinery,"{'spans': [[188, 238]], 'source': '2156e4728b48472a8007ff62df1efa69'}"
Avi Schwarzschild,member of,Association for Computing Machinery,"{'spans': [[188, 238]], 'source': '2156e4728b48472a8007ff62df1efa69'}"
Nicholas Carlini,member of,Association for Computing Machinery,"{'spans': [[188, 238]], 'source': '2156e4728b48472a8007ff62df1efa69'}"
Zico Kolter,member of,Association for Computing Machinery,"{'spans': [[188, 238]], 'source': '2156e4728b48472a8007ff62df1efa69'}"
Daphne Ippolito,member of,Association for Computing Machinery,"{'spans': [[188, 238]], 'source': '2156e4728b48472a8007ff62df1efa69'}"
Avi Schwarzschild,influenced by,Yiming Zhang,"{'spans': [[188, 238]], 'source': '2156e4728b48472a8007ff62df1efa69'}"
Forcing�diffuse distributions out of language models,point in time,2024,"{'spans': [[235, 285]], 'source': '2156e4728b48472a8007ff62df1efa69'}"
"Forcing�diffuse distributions out of language models, 2024",point in time,2024,"{'spans': [[235, 285]], 'source': '2156e4728b48472a8007ff62df1efa69'}"
N,has part,k,"{'spans': [[282, 332]], 'source': '2156e4728b48472a8007ff62df1efa69'}"
Rn,has part,k,"{'spans': [[282, 332]], 'source': '2156e4728b48472a8007ff62df1efa69'}"
k,part of,Rn,"{'spans': [[282, 332]], 'source': '2156e4728b48472a8007ff62df1efa69'}"
k,part of,N,"{'spans': [[282, 332]], 'source': '2156e4728b48472a8007ff62df1efa69'}"
ˆyi,has part,ˆy,"{'spans': [[329, 379]], 'source': '2156e4728b48472a8007ff62df1efa69'}"
ϕq(x),programming language,C,"{'spans': [[376, 426]], 'source': '2156e4728b48472a8007ff62df1efa69'}"
ϕq(x),has part,ϕq(x),"{'spans': [[376, 426]], 'source': '2156e4728b48472a8007ff62df1efa69'}"
ranking stochastic ranking sampler,uses,stochastic sampling,"{'spans': [[0, 50]], 'source': 'b794216dd33a4e5990524bf1c986a2e8'}"
stochastic sampling,subclass of,sampling size,"{'spans': [[0, 50]], 'source': 'b794216dd33a4e5990524bf1c986a2e8'}"
ranking stochastic ranking sampler,subclass of,stochastic sampling,"{'spans': [[0, 50]], 'source': 'b794216dd33a4e5990524bf1c986a2e8'}"
G(xi),instance of,language model,"{'spans': [[47, 97]], 'source': 'b794216dd33a4e5990524bf1c986a2e8'}"
Σ prompt generation function,subclass of,Σ prompt generation function,"{'spans': [[47, 97]], 'source': 'b794216dd33a4e5990524bf1c986a2e8'}"
string utility score,subclass of,string utility metric,"{'spans': [[94, 144]], 'source': 'b794216dd33a4e5990524bf1c986a2e8'}"
string utility score,instance of,string utility metric,"{'spans': [[94, 144]], 'source': 'b794216dd33a4e5990524bf1c986a2e8'}"
string utility metric,has part,string utility score,"{'spans': [[94, 144]], 'source': 'b794216dd33a4e5990524bf1c986a2e8'}"
string utility score,part of,string utility metric,"{'spans': [[94, 144]], 'source': 'b794216dd33a4e5990524bf1c986a2e8'}"
Algorithm 1,uses,Notation,"{'spans': [[141, 191]], 'source': 'b794216dd33a4e5990524bf1c986a2e8'}"
Algorithm 1 Labeling Procedure of Binary Utility Labels,instance of,Notation,"{'spans': [[141, 191]], 'source': 'b794216dd33a4e5990524bf1c986a2e8'}"
Algorithm 1,use,Notation,"{'spans': [[141, 191]], 'source': 'b794216dd33a4e5990524bf1c986a2e8'}"
D do,has part,D do,"{'spans': [[188, 238]], 'source': 'b794216dd33a4e5990524bf1c986a2e8'}"
D do,part of,D do,"{'spans': [[188, 238]], 'source': 'b794216dd33a4e5990524bf1c986a2e8'}"
gothic rock,instance of,genre,"{'spans': [[235, 285]], 'source': 'b794216dd33a4e5990524bf1c986a2e8'}"
gothic rock,subclass of,electronica,"{'spans': [[235, 285]], 'source': 'b794216dd33a4e5990524bf1c986a2e8'}"
